texts;coherence_results;consistency_results;relevance_results;fluency_results;comments
<br><br> Elena: Happy birthday my dear! <br><br> Dorothea: Oh thank you darling! <3 <br><br> Elena: I wish you all the best and I hope all your dreams come trueee! <br><br> Dorothea: Haha thanks! <br><br> Elena: Are you going to celebrate today? <br><br> Dorothea: Yes, I'm gonna meet Tom and we're going to eat something in the town :) <br><br> Elena: Cool! So enjoy guys! And see you on your party on Saturday! :D <br><br> Dorothea: Thx! Love U :* and see you soon! <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> dorothea is having a birthday dinner in the town with tom . elena is seeing dorothea at her party on saturday .;5;5;5;5;Any comments?
<br><br> Elena: Happy birthday my dear! <br><br> Dorothea: Oh thank you darling! <3 <br><br> Elena: I wish you all the best and I hope all your dreams come trueee! <br><br> Dorothea: Haha thanks! <br><br> Elena: Are you going to celebrate today? <br><br> Dorothea: Yes, I'm gonna meet Tom and we're going to eat something in the town :) <br><br> Elena: Cool! So enjoy guys! And see you on your party on Saturday! :D <br><br> Dorothea: Thx! Love U :* and see you soon! <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> Dorothea: Yes, I'm gonna meet Tom and we're going to eat something in the town :) Elena: Cool! <3 Elena: I wish you all the best and I hope all your dreams come trueee! And see you on your party on Saturday!;3;1;2;5;Any comments?
<br><br> Elena: Happy birthday my dear! <br><br> Dorothea: Oh thank you darling! <3 <br><br> Elena: I wish you all the best and I hope all your dreams come trueee! <br><br> Dorothea: Haha thanks! <br><br> Elena: Are you going to celebrate today? <br><br> Dorothea: Yes, I'm gonna meet Tom and we're going to eat something in the town :) <br><br> Elena: Cool! So enjoy guys! And see you on your party on Saturday! :D <br><br> Dorothea: Thx! Love U :* and see you soon! <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> Elena: Happy birthday my dear! Dorothea: Oh thank you darling! <3 Elena: I wish you all the best and I hope all your dreams come trueee!;3;5;1;5;Any comments?
<br><br> Elena: Happy birthday my dear! <br><br> Dorothea: Oh thank you darling! <3 <br><br> Elena: I wish you all the best and I hope all your dreams come trueee! <br><br> Dorothea: Haha thanks! <br><br> Elena: Are you going to celebrate today? <br><br> Dorothea: Yes, I'm gonna meet Tom and we're going to eat something in the town :) <br><br> Elena: Cool! So enjoy guys! And see you on your party on Saturday! :D <br><br> Dorothea: Thx! Love U :* and see you soon! <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> Dorothea and Elena are going to eat something in the town .;4;1;1;5;Any comments?
<br><br> Elena: Happy birthday my dear! <br><br> Dorothea: Oh thank you darling! <3 <br><br> Elena: I wish you all the best and I hope all your dreams come trueee! <br><br> Dorothea: Haha thanks! <br><br> Elena: Are you going to celebrate today? <br><br> Dorothea: Yes, I'm gonna meet Tom and we're going to eat something in the town :) <br><br> Elena: Cool! So enjoy guys! And see you on your party on Saturday! :D <br><br> Dorothea: Thx! Love U :* and see you soon! <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> Elena wants to meet with Elena and Dorothea on her birthday today.;4;1;1;4;Any comments?
<br><br> Elena: Happy birthday my dear! <br><br> Dorothea: Oh thank you darling! <3 <br><br> Elena: I wish you all the best and I hope all your dreams come trueee! <br><br> Dorothea: Haha thanks! <br><br> Elena: Are you going to celebrate today? <br><br> Dorothea: Yes, I'm gonna meet Tom and we're going to eat something in the town :) <br><br> Elena: Cool! So enjoy guys! And see you on your party on Saturday! :D <br><br> Dorothea: Thx! Love U :* and see you soon! <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> It's Dorothea's birthday today. She's going to meet Tom and they're going to eat something in the town. Elena wishes her all the best and invites her to her party on Saturday.;5;4;4;5;Any comments?
<br><br> Elena: Happy birthday my dear! <br><br> Dorothea: Oh thank you darling! <3 <br><br> Elena: I wish you all the best and I hope all your dreams come trueee! <br><br> Dorothea: Haha thanks! <br><br> Elena: Are you going to celebrate today? <br><br> Dorothea: Yes, I'm gonna meet Tom and we're going to eat something in the town :) <br><br> Elena: Cool! So enjoy guys! And see you on your party on Saturday! :D <br><br> Dorothea: Thx! Love U :* and see you soon! <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> It's Dorothea's birthday today. She's going to meet Tom and eat something in the town. She's throwing a party on Saturday.;5;5;4;5;Any comments?
<br><br> Elena: Happy birthday my dear! <br><br> Dorothea: Oh thank you darling! <3 <br><br> Elena: I wish you all the best and I hope all your dreams come trueee! <br><br> Dorothea: Haha thanks! <br><br> Elena: Are you going to celebrate today? <br><br> Dorothea: Yes, I'm gonna meet Tom and we're going to eat something in the town :) <br><br> Elena: Cool! So enjoy guys! And see you on your party on Saturday! :D <br><br> Dorothea: Thx! Love U :* and see you soon! <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> It ' s Dorothea ' s birthday today . She is going to meet Tom and eat something in town . She will see Elena at her birthday party on Saturday .;5;5;5;5;Any comments?
<br><br> Elena: Happy birthday my dear! <br><br> Dorothea: Oh thank you darling! <3 <br><br> Elena: I wish you all the best and I hope all your dreams come trueee! <br><br> Dorothea: Haha thanks! <br><br> Elena: Are you going to celebrate today? <br><br> Dorothea: Yes, I'm gonna meet Tom and we're going to eat something in the town :) <br><br> Elena: Cool! So enjoy guys! And see you on your party on Saturday! :D <br><br> Dorothea: Thx! Love U :* and see you soon! <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> It's Dorothea's birthday today. Dorothea is going out with Tom today and they will eat something in the town.;5;5;4;5;Any comments?
<br><br> Elena: Happy birthday my dear! <br><br> Dorothea: Oh thank you darling! <3 <br><br> Elena: I wish you all the best and I hope all your dreams come trueee! <br><br> Dorothea: Haha thanks! <br><br> Elena: Are you going to celebrate today? <br><br> Dorothea: Yes, I'm gonna meet Tom and we're going to eat something in the town :) <br><br> Elena: Cool! So enjoy guys! And see you on your party on Saturday! :D <br><br> Dorothea: Thx! Love U :* and see you soon! <br> -------------------------------------------------------------------------------------------------- <br><font color='blue'> Summary: </font> It's Dorothea's birthday today. She will meet Tom and they will eat something in the town.;5;5;4;5;Any comments?
