2023-02-02 09:36:24,906 INFO    MainThread:27332 [wandb_setup.py:_flush():68] Configure stats pid to 27332
2023-02-02 09:36:24,907 INFO    MainThread:27332 [wandb_setup.py:_flush():68] Loading settings from C:\Users\patri\.config\wandb\settings
2023-02-02 09:36:24,907 INFO    MainThread:27332 [wandb_setup.py:_flush():68] Loading settings from C:\Users\patri\Desktop\University\AI\combots\Reproducing_DialSummEval\wandb\settings
2023-02-02 09:36:24,907 INFO    MainThread:27332 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-02-02 09:36:24,907 INFO    MainThread:27332 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'reproduce\\metrics\\factCC\\my_modeling\\my_eval.py', 'program': 'C:\\Users\\patri\\Desktop\\University\\AI\\combots\\Reproducing_DialSummEval\\reproduce\\metrics\\factCC\\my_modeling\\my_eval.py'}
2023-02-02 09:36:24,907 INFO    MainThread:27332 [wandb_init.py:_log_setup():478] Logging user logs to C:\Users\patri\Desktop\University\AI\combots\Reproducing_DialSummEval\wandb\run-20230202_093624-2l3o0zzv\logs\debug.log
2023-02-02 09:36:24,907 INFO    MainThread:27332 [wandb_init.py:_log_setup():479] Logging internal logs to C:\Users\patri\Desktop\University\AI\combots\Reproducing_DialSummEval\wandb\run-20230202_093624-2l3o0zzv\logs\debug-internal.log
2023-02-02 09:36:24,908 INFO    MainThread:27332 [wandb_init.py:init():518] calling init triggers
2023-02-02 09:36:24,908 INFO    MainThread:27332 [wandb_init.py:init():521] wandb.init called with sweep_config: {}
config: {}
2023-02-02 09:36:24,908 INFO    MainThread:27332 [wandb_init.py:init():571] starting backend
2023-02-02 09:36:24,908 INFO    MainThread:27332 [wandb_init.py:init():575] setting up manager
2023-02-02 09:36:24,912 INFO    MainThread:27332 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-02-02 09:36:24,916 INFO    MainThread:27332 [wandb_init.py:init():582] backend started and connected
2023-02-02 09:36:24,919 INFO    MainThread:27332 [wandb_init.py:init():670] updated telemetry
2023-02-02 09:36:24,920 INFO    MainThread:27332 [wandb_init.py:init():710] communicating run to backend with 60.0 second timeout
2023-02-02 09:36:25,315 INFO    MainThread:27332 [wandb_run.py:_on_init():2121] communicating current version
2023-02-02 09:36:25,406 INFO    MainThread:27332 [wandb_run.py:_on_init():2125] got version response 
2023-02-02 09:36:25,406 INFO    MainThread:27332 [wandb_init.py:init():758] starting run threads in backend
2023-02-02 09:36:29,679 INFO    MainThread:27332 [wandb_run.py:_console_start():2101] atexit reg
2023-02-02 09:36:29,680 INFO    MainThread:27332 [wandb_run.py:_redirect():1959] redirect: SettingsConsole.WRAP_RAW
2023-02-02 09:36:29,680 INFO    MainThread:27332 [wandb_run.py:_redirect():2024] Wrapping output streams.
2023-02-02 09:36:29,680 INFO    MainThread:27332 [wandb_run.py:_redirect():2046] Redirects installed.
2023-02-02 09:36:29,680 INFO    MainThread:27332 [wandb_init.py:init():798] run started, returning control to user process
2023-02-02 09:36:34,821 WARNING MsgRouterThr:27332 [router.py:message_loop():77] message_loop has been closed
